BASIN,NON_EMPTY_CELLS
0,169586945
1,278036488
2,298719007
3,111159919
4,46171348
5,102494781
6,134943743
7,205761576
8,276862675
9,307699489
10,342007383
11,360480712
12,368445621
13,153109569
14,166072602
15,538666760
16,542421136
17,587948132
18,346081584
19,354005154
20,400176502
21,435710478
22,460794411
23,530364876
24,575105179
25,616458435
26,630348921
27,1234800995
28,1410026089
29,106212863
30,118136414
31,225393865
32,268912457
33,100329004
34,105139769
35,388751771
36,403923089
37,417900538
38,500808940
39,513345857
40,1970775992
41,2014095458
42,2049527215
43,101931141
44,141163649
45,142680688
46,173052181
47,189829651
48,235253246
49,264380126
50,293672510
51,302968719
52,313979355
53,333756390
54,344804568
55,359803384
56,372125720
57,376269750
58,2489411697
