AFFINITY,THREADS_PER_CORE,ALGORITHM,BASIN,0,1,2,3,4,5,6,7,8,9
none,1,0,0,8486,8150,8166,8421,8178,8166,8181,8181,8175,8163
none,1,0,1,13207,12672,12696,13194,12695,12774,12683,13083,12708,12669
none,1,0,2,14439,13869,13849,14454,13989,14235,13894,14315,13860,13892
none,1,0,3,5215,5011,5033,5215,5016,5023,5026,5023,5025,5015
none,1,0,4,2570,2484,2487,2571,2496,2480,2505,2485,2482,2478
none,1,0,5,4898,4705,4733,4902,4709,4764,4714,4815,4719,4708
none,1,0,6,6807,6490,6489,6779,6571,6785,6507,6762,6502,6498
none,1,0,7,10180,9806,9815,10220,10219,10209,9816,10220,9827,9794
none,1,0,8,12698,12204,12215,12740,12713,12734,12213,12708,12266,12191
none,1,0,9,14592,14009,13994,14607,14598,14572,14026,14588,14005,14041
none,1,0,10,16335,15716,15702,16360,16335,16413,15696,16440,15708,15844
none,1,0,11,17805,17125,17089,17872,17793,17847,17111,17802,17137,17355
none,1,0,12,18067,17428,17388,18111,18044,18150,17393,18073,17443,17681
none,1,0,13,8122,7828,7805,8135,8121,8147,7800,8134,7814,7795
none,1,0,14,8478,8132,8146,8491,8488,8491,8140,8501,8134,8150
none,1,0,15,31064,30687,30335,31090,31015,31087,30718,31047,30832,30923
none,1,0,16,31182,30847,30429,31282,31087,31245,30802,31162,30913,31015
none,1,0,17,35151,34719,34398,34943,34984,35106,34652,35000,34806,34859
none,1,0,18,17377,16798,16716,17424,17376,17448,16813,17428,16949,17047
none,1,0,19,17790,17145,17069,17812,17789,17774,17162,17800,17339,17432
none,1,0,20,20135,19643,19323,20148,20078,20126,19523,20105,19756,19830
none,1,0,21,21872,21355,21097,21859,21902,21878,21337,21887,21519,21635
none,1,0,22,26027,25648,25372,26132,26007,26056,25733,26060,25813,25689
none,1,0,23,27888,27521,27347,27914,27880,27888,27555,27888,27640,27679
none,1,0,24,30915,30584,30407,30959,30859,30861,30514,30905,30655,30708
none,1,0,25,33406,33140,32905,33485,33422,33387,32977,33469,33167,33221
none,1,0,26,34775,34560,34420,34792,34722,34731,34731,34793,34577,34620
none,1,0,27,79095,79102,78783,78966,77475,79189,78978,77416,78913,78866
none,1,0,28,84171,84393,84095,84588,84273,84671,84215,82641,84371,84283
none,1,0,29,5015,4831,4831,4887,4859,5033,4863,4901,4871,4822
none,1,0,30,5628,5458,5404,5526,5451,5628,5422,5517,5430,5390
none,1,0,31,10413,10302,10018,10332,10297,10437,10240,10327,10314,10050
none,1,0,32,13207,13143,12677,13090,13029,13213,13029,13107,13064,13154
