AFFINITY,THREADS_PER_CORE,ALGORITHM,BASIN,0,1,2,3,4,5,6,7,8,9
none,1,0,0,12853,12331,12353,12625,12352,12339,12359,12358,12353,12349
none,1,0,1,18678,17910,17870,18615,17908,17942,17923,18330,17916,17904
none,1,0,2,20969,20117,20098,20958,20121,20437,20119,20776,20108,20108
none,1,0,3,7379,7104,7103,7318,7086,7144,7110,7105,7104,7100
none,1,0,4,4552,4393,4396,4525,4392,4396,4397,4382,4392,4393
none,1,0,5,7336,7037,7036,7329,7039,7113,7079,7147,7034,7035
none,1,0,6,10599,10155,10162,10583,10205,10511,10176,10560,10164,10167
none,1,0,7,15846,15167,15203,15851,15751,15603,15202,15843,15204,15182
none,1,0,8,17631,17041,17042,17767,17755,17764,17040,17765,17056,16977
none,1,0,9,21254,20364,20398,21273,21264,21278,20377,21258,20389,20448
none,1,0,10,23827,22873,22915,23815,23818,23839,22851,23887,22859,23086
none,1,0,11,27130,26102,26040,27166,27164,27224,26033,27185,26126,26426
none,1,0,12,27472,26461,26363,27428,27461,27445,26399,27442,26511,26802
none,1,0,13,13928,13337,13401,13915,13909,13937,13315,13905,13353,13338
none,1,0,14,13908,13348,13353,13911,13917,13937,13352,13916,13352,13347
none,1,0,15,56416,55566,55074,56414,56338,56392,55534,56300,55699,55916
none,1,0,16,56393,55668,55155,56400,56312,56349,55613,56340,55719,56065
none,1,0,17,65327,64579,64185,65389,65380,65500,64643,65337,64849,64994
none,1,0,18,26644,25699,25531,26726,26667,26706,25742,26630,25914,26060
none,1,0,19,27222,26203,26081,27242,27180,27223,26259,27220,26461,26580
none,1,0,20,30969,29951,29654,30912,30859,30928,29970,30902,30212,30325
none,1,0,21,33505,32705,32335,33557,33515,33714,32666,33602,32971,33009
none,1,0,22,43267,42493,42122,43269,43282,43320,42551,43290,42665,42774
none,1,0,23,45442,44675,44326,45412,45454,45446,44631,45373,44974,45020
none,1,0,24,51493,50879,50433,51485,51479,51458,50717,51445,51010,51130
none,1,0,25,53676,52914,52765,53686,53658,53614,52836,53747,53178,53274
none,1,0,26,59715,59139,58811,59768,59736,59642,59227,59585,59301,59485
none,1,0,27,156535,156194,155803,156389,156183,156414,156147,156241,155844,156186
none,1,0,28,156578,156396,155850,151269,151440,156379,156127,156054,156173,156184
none,1,0,29,7106,6831,6826,6921,6826,7112,6838,6805,6827,6824
none,1,0,30,8092,7842,7767,7921,7852,8086,7783,7863,7776,7775
none,1,0,31,14011,13831,13445,13892,13802,14020,13733,13878,13800,13438
none,1,0,32,19115,19031,18330,18989,18916,19120,18876,19006,18961,18818
none,1,0,33,6068,5997,5893,5937,5894,6111,5900,5950,5891,5927
none,1,0,34,7161,7063,6915,6997,6921,7183,6912,7016,6936,7095
none,1,0,35,24471,24373,23475,24347,24306,24461,24293,24345,24345,24456
none,1,0,36,24681,24692,23706,24565,24633,24721,24563,24603,24584,24550
none,1,0,37,25210,25185,24684,25170,25013,25305,25099,25148,25244,25258
none,1,0,38,32338,32318,32230,32277,32218,32339,32214,32267,32360,32420
none,1,0,39,32928,32886,32926,32822,32801,32979,32817,32874,32995,32981
none,1,0,40,155715,156026,156112,156032,151296,151288,156064,155994,151229,156460
none,1,0,41,152568,151595,156409,156124,156042,155787,156053,156000,151338,156314
none,1,0,42,155944,156165,156197,156068,156255,151704,155981,156189,155593,151618
none,1,0,43,5788,5783,5821,5788,5844,5789,5773,5799,5789,5794
none,1,0,44,9369,9348,9487,9361,9508,9373,9448,9257,9293,9358
none,1,0,45,9542,9338,9499,9395,9492,9397,9450,9252,9302,9355
none,1,0,46,10574,10384,10498,10436,10586,10457,10500,10255,10320,10369
none,1,0,47,10958,10848,10900,10924,10980,10940,10905,10667,10820,10804
none,1,0,48,15783,15742,15229,15782,15854,15802,15769,15528,15632,15716
