ALGORITHM,CORES,0,1,2,3,4,5,6,7,8,9
0,1,515361,515751,516633,515412,515375,516336,518410,515381,515364,526525
1,1,254409,254246,254124,255434,255797,254432,254969,255211,255790,255271
1,2,131779,131197,130103,130886,131138,131157,130145,130250,130376,130549
1,3,90082,91004,89992,90074,90125,89858,89761,90013,90136,89933
1,4,70769,70312,70254,70041,70484,70506,70615,70620,70222,70230
1,5,58552,58291,58550,58358,58548,58349,58486,58904,58739,58452
1,6,50372,50517,50511,50580,50439,50755,50407,50500,50467,50502
1,7,44872,45019,44879,44880,45026,45079,45065,45080,44841,45024
1,8,40893,41044,40846,40704,40908,40729,40683,40806,40694,40882
1,9,37490,37722,37477,37554,37531,37499,37520,37685,37506,37572
1,10,34385,34278,34282,34332,34408,34298,34521,34363,34385,34423
1,11,32219,32143,32316,32266,32240,32219,32250,32167,32266,32094
1,12,30442,30526,30494,30482,30384,30440,30484,30417,30547,30418
1,13,28987,29046,28968,29008,28876,28920,29046,28912,29000,28988
1,14,27710,27804,27856,27713,27733,27755,27828,27830,27823,27743
1,15,26719,26758,26671,26682,26604,26612,26707,26625,26670,26614
1,16,25678,25667,25700,25931,25662,25704,25707,25697,25757,25722
1,17,24830,24842,24823,24816,24836,24806,24868,24826,24787,24809
1,18,24066,24098,24156,24115,24060,24167,24098,24141,24037,24176
1,19,23345,23492,23434,23432,23441,23513,23518,23508,23423,23480
1,20,22786,22774,22797,22832,22766,22766,22880,22714,22828,22805
1,21,22297,22416,22255,22257,22318,22291,22266,22318,22241,22349
1,22,21719,21831,21917,21749,21717,21791,21776,21853,21813,21740
1,23,21215,21325,21315,21432,21296,21319,21352,21260,21296,21383
1,24,20923,20865,20892,20933,20964,20920,20898,20922,21351,20835
1,25,20557,20554,20447,20499,20620,20547,20602,20561,20470,20519
1,26,20087,20355,20214,20125,20205,20195,20105,20242,20164,20131
1,27,19880,19804,19787,19856,19817,19921,19884,19922,19843,19826
1,28,19571,19580,19539,19649,19523,19537,19541,19557,19566,19556
1,29,19230,19203,19253,19282,19225,19389,19216,19309,19233,19316
1,30,18953,19022,18974,19003,18930,18986,18953,19044,18982,18967
1,31,18774,18762,18792,18798,18726,18709,18748,18691,18743,18779
1,32,18522,18520,18579,18523,18524,18491,18522,18549,18581,18581
1,33,18297,18359,18336,18293,18333,18355,18341,18396,18305,18359
1,34,18036,18131,18084,18188,18105,18185,18102,18096,18137,18144
1,35,17843,17924,17851,17983,17851,17935,17869,17936,17948,17922
1,36,17745,17806,17747,17717,17741,17785,17666,17719,17774,17787
1,37,17697,17536,17609,17569,17534,17530,17558,17605,17587,17591
1,38,17422,17412,17446,17484,17434,17403,17315,17348,17456,17523
1,39,17317,17336,17253,17233,17236,17370,17307,17393,17249,17293
1,40,17164,17175,17123,17105,17250,17094,17142,17120,17131,17065
1,41,17044,16959,17059,17139,17045,16961,16985,17144,17017,17002
1,42,16805,16843,16856,16924,16834,16911,16911,16867,16807,16823
1,43,16748,16719,16684,16717,16907,16828,16740,16714,16755,16758
1,44,16740,16615,16707,16677,16637,16550,16662,16619,16571,16590
1,45,16496,16491,16494,16486,16509,16513,16570,16520,16525,16463
1,46,16376,16398,16334,16354,16411,16385,16426,16378,16371,16426
1,47,16321,16367,16411,16302,16269,16203,16278,16332,16318,16352
1,48,16183,16264,16163,16232,16206,16223,16246,16144,16213,16182
1,49,16130,16032,16122,16078,16137,16096,16036,16449,16078,16160
1,50,16020,15891,16081,16036,16305,15955,15966,15929,15957,16014
1,51,15962,15924,15957,15892,15936,16006,15870,15946,15956,15888
1,52,15888,15904,15877,15827,15895,15909,15855,15827,15773,15838
1,53,15801,15732,15755,15760,16292,15823,15709,15827,15806,15821
1,54,15737,15678,15736,15714,15869,15659,15695,15757,15754,15737
1,55,15612,15619,15710,15600,15690,15635,15585,15597,15568,15645
1,56,15532,15595,15547,15584,15531,15624,15555,15655,15542,15501
1,57,15554,15497,15505,15438,15530,15468,15509,15545,15495,15497
1,58,15509,15428,15455,15440,15493,15499,15451,15512,15508,15395
1,59,15488,15371,15348,15394,15431,15391,15334,15410,15359,15327
1,60,15337,15729,15317,15351,15333,15323,15337,15321,15297,15292
